mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0.19499433040618896,0.001861911133143444,0.01735508441925049,0.002623660787851119,4,4,50,"{'max_depth': 4, 'min_samples_split': 4, 'n_estimators': 50}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.385223388671875,0.01656947793014196,0.03204923868179321,0.00416396327106302,4,4,100,"{'max_depth': 4, 'min_samples_split': 4, 'n_estimators': 100}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.09788626432418823,0.00631236351355219,0.010908305644989014,0.0008737927955057216,5,2,25,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 25}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.20129984617233276,0.01746265364217285,0.01819610595703125,0.003247709709806137,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.3903561234474182,0.009320881359519476,0.032750844955444336,0.003771997987686872,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.10075664520263672,0.007878578199732332,0.01044398546218872,0.0007471428575567952,5,4,25,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 25}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.19887244701385498,0.009763967714189109,0.014949500560760498,0.0003292925425220061,5,4,50,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 50}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.392566978931427,0.005720625756718393,0.025593459606170654,0.001727122217857472,5,4,100,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 100}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.10583078861236572,0.008438451313994077,0.010887384414672852,0.0011644796517469177,,2,25,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 25}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.20923775434494019,0.011175715576840994,0.016462266445159912,0.0023608543849191455,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.40961188077926636,0.010738354049719125,0.026248574256896973,0.0014942170503813852,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.1059003472328186,0.007149948797538068,0.013547956943511963,0.0051550634973937335,,4,25,"{'max_depth': None, 'min_samples_split': 4, 'n_estimators': 25}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.20354777574539185,0.018172814166418496,0.015414714813232422,0.0005819009489602456,,4,50,"{'max_depth': None, 'min_samples_split': 4, 'n_estimators': 50}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
0.3842974901199341,0.0068531454182590625,0.02515798807144165,0.0010038449051260295,,4,100,"{'max_depth': None, 'min_samples_split': 4, 'n_estimators': 100}",0.8,0.8,1.0,1.0,0.9,0.09999999999999998,1,1.0,1.0,1.0,1.0,1.0,0.0
